Name,Max,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Female,100,26,21,26,28,20,20,20,20,20,40,15,40
Local,100,69,70,77,71,37,36,39,39,55,60,68,72
U.S.A.,100,7,6,3,6,23,14,19,14,9,6,8,8
South America,100,0,0,0,0,8,6,6,4,2,12,0,0
Europe,100,20,15,14,15,23,27,22,39,27,19,19,17
"M. East, Africa",100,1,0,0,8,6,4,6,4,2,1,0,1
Asia,100,3,10,6,0,3,13,8,9,5,2,5,2
Businessmen,100,78,80,85,86,85,87,70,76,87,85,87,80
Tourists,100,22,20,15,14,15,13,30,24,13,15,13,20
Direct reservations,100,70,70,75,74,69,68,74,75,68,68,64,75
Agency reservations,100,20,18,19,17,27,27,19,19,26,27,21,15
Air Crews,100,10,12,6,9,4,5,7,6,6,5,15,10
Clients under 20 years,100,2,2,4,2,2,1,1,2,2,4,2,5
Clients 20-35 years,100,25,27,37,35,25,25,27,28,24,30,24,30
Clients 35-55 years,100,48,49,42,48,54,55,53,51,55,46,55,43
Clients more than 55 years,100,25,22,17,15,19,19,19,19,19,20,19,22
Price of rooms,200,163,167,166,174,152,155,145,170,157,174,165,156
Length of stay,3,1.65,1.74,1.65,1.91,1.9,2,1.54,1.6,1.73,1.82,1.66,1.44
Occupancy,100,67,82,70,83,74,77,56,62,90,92,78,55
Conventions,2,0,0,0,1,1,1,0,0,1,1,1,1
