psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,act62,act102,act121,act131,act132,act133,act134,pial1a,pial1b,vid01a,vid01b,vid01c,vid01d,vid01e,vid01f,vid01g,vid01h,vid01i,vid01j,pial2,pial3a,pial3b,pial3c,pial3d,pial3e,pial3f,pial3g,pial4a,pial4b,pial5,pial6,cell1a,cell1b,cell1c,cell1d,cell2,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100002,1,51,3,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,61,3,2,1,2,3.20689655172414,.95773861197258
100004,1,42,1,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,83,3,2,1,99,1.24137931034483,.370737527215192
100007,1,36,1,U,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2, , , , , , , , , , , ,2,2,1,2,2,3,2,1,19,4,1,6,99,4.55172413793104,1.35937093312237
100012,1,45,3,R,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,1,3,2,2,70,4,2,1,2,1.55172413793103,.46342190901899
100013,1,51,3,S,2,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,8,2,3,2,1,99,3,2,1,99,1.31034482758621,.391334056504925
100014,1,51,3,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,60,3,2,1,8,2,.597299349402254
100020,1,36,1,S,2,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,78,6,2,1,4,1.75862068965517,.525211496888189
100021,1,47,3,U,1,2,1,2,2,2,2,2,2,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,62,2,2,1,3,2.62068965517241,.78266811300985
100023,1,34,1,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,86,3,2,1,99,2.41379310344828,.720878525140651
100024,1,39,2,U,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,57,4,2,2,1,4.51724137931035,1.34907266847751
100026,1,42,1,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,75,3,2,2,3,1.03448275862069,.308947939345994
100029,1,34,1,S,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2, , , , , , , ,8,1,2,1,1,1,1,2,2,3,2,2,99,4,2,4,99,1.68965517241379,.504614967598456
100030,1,34,1,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,56,1,2,1,3,3.55172413793104,1.06072125842124
100033,1,37,3,U,1,2,2, ,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,2,2, , , , , , , ,2,2,2,2, , , , , ,3,2,2,70,4,2,2,2,2.48275862068966,.741475054430384
100038,1,47,3,U,1,2,2, ,2,2,2,2,1,2,2, , , , , , , , , , , , ,2, , , , , , , ,2,2,2,2, , , , , ,3,2,1,99,6,2,1,6,1.27586206896552,.381035791860059
100042,1,9,1,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,64,2,2,1,99,2.62068965517241,.78266811300985
100047,1,34,1,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,9,1,2,39,9,2,3,99,4.96551724137931,1.48295010886077
